Size;Rank;walltime
2;0;1.39702e-07
2;0;1.51556e-07
2;0;1.61622e-07
2;0;1.97688e-07
2;0;2.09442e-07
2;0;2.16654e-07
2;0;2.23746e-07
2;0;2.308e-07
2;0;2.37572e-07
2;0;2.44324e-07
2;0;2.51356e-07
2;0;2.58388e-07
2;0;2.6538e-07
2;0;2.72152e-07
2;0;2.79064e-07
2;0;2.86176e-07
2;0;2.93208e-07
2;0;3.0002e-07
2;0;3.0667e-07
2;0;3.13742e-07
2;0;3.20614e-07
2;0;3.27506e-07
2;0;3.34598e-07
2;0;3.41712e-07
2;0;3.48624e-07
2;0;3.55576e-07
2;0;3.62448e-07
2;0;3.6934e-07
2;0;3.76232e-07
2;0;3.83124e-07
2;0;3.90036e-07
2;0;3.96928e-07
2;0;4.0386e-07
2;0;4.10752e-07
2;0;4.17724e-07
2;0;4.25418e-07
2;0;4.3233e-07
2;0;4.392e-07
2;0;4.4593e-07
2;0;4.52902e-07
2;0;4.59812e-07
2;0;4.66722e-07
2;0;4.73794e-07
2;0;4.80686e-07
2;0;4.87638e-07
2;0;4.9453e-07
2;0;5.01442e-07
2;0;5.08294e-07
2;0;5.15206e-07
2;0;5.22138e-07
2;0;5.2911e-07
2;0;5.36142e-07
2;0;5.43074e-07
2;0;5.50006e-07
2;0;5.56958e-07
2;0;5.6379e-07
2;0;5.70702e-07
2;0;5.77494e-07
2;0;5.84486e-07
2;0;5.91418e-07
2;0;5.98392e-07
2;0;6.05344e-07
2;0;6.12256e-07
2;0;6.19108e-07
2;0;6.25878e-07
2;0;6.32648e-07
2;0;6.3966e-07
2;0;6.47032e-07
2;0;6.53944e-07
2;0;6.60816e-07
2;0;6.67828e-07
2;0;6.74438e-07
2;0;6.8141e-07
2;0;6.88282e-07
2;0;6.95316e-07
2;0;7.02166e-07
2;0;7.09036e-07
2;0;7.15828e-07
2;0;7.2256e-07
2;0;7.29432e-07
2;0;7.36384e-07
2;0;7.43276e-07
2;0;7.50328e-07
2;0;7.5724e-07
2;0;7.64092e-07
2;0;7.71024e-07
2;0;7.77936e-07
2;0;7.84728e-07
2;0;7.9172e-07
2;0;7.98672e-07
2;0;8.05644e-07
2;0;8.12474e-07
2;0;8.19366e-07
2;0;8.26218e-07
2;0;8.3307e-07
2;0;8.39942e-07
2;0;8.46794e-07
2;0;8.53706e-07
2;0;8.60558e-07
2;0;8.67952e-07
2;0;8.74844e-07
2;0;8.81636e-07
2;0;8.88528e-07
2;0;8.9534e-07
2;0;9.02212e-07
2;0;9.09306e-07
2;0;9.16218e-07
2;0;9.2313e-07
2;0;9.29982e-07
2;0;9.36792e-07
2;0;9.43784e-07
2;0;9.50776e-07
2;0;9.57748e-07
2;0;9.6462e-07
2;0;9.71692e-07
2;0;9.78462e-07
2;0;9.85434e-07
2;0;9.92244e-07
2;0;9.99216e-07
2;0;1.00605e-06
2;0;1.0129e-06
2;0;1.01975e-06
2;0;1.02662e-06
2;0;1.03341e-06
2;0;1.04035e-06
2;0;1.04716e-06
2;0;1.05393e-06
2;0;1.06086e-06
2;0;1.06781e-06
2;0;1.0745e-06
2;0;1.08129e-06
2;0;1.08833e-06
2;0;1.0953e-06
2;0;1.10221e-06
2;0;1.10912e-06
2;0;1.11598e-06
2;0;1.12291e-06
2;0;1.12988e-06
2;0;1.13673e-06
2;0;1.14362e-06
2;0;1.15054e-06
2;0;1.15745e-06
2;0;1.1643e-06
2;0;1.17125e-06
2;0;1.17808e-06
2;0;1.18477e-06
2;0;1.19179e-06
2;0;1.19868e-06
2;0;1.20555e-06
2;0;1.2125e-06
2;0;1.21917e-06
2;0;1.22602e-06
2;0;1.23291e-06
2;0;1.23968e-06
2;0;1.24649e-06
2;0;1.25338e-06
2;0;1.26041e-06
2;0;1.26725e-06
2;0;1.27406e-06
2;0;1.28093e-06
2;0;1.28776e-06
2;0;1.29457e-06
2;0;1.30166e-06
2;0;1.30851e-06
2;0;1.3154e-06
2;0;1.32219e-06
2;0;1.32906e-06
2;0;1.33573e-06
2;0;1.34267e-06
2;0;1.34956e-06
2;0;1.35645e-06
2;0;1.36324e-06
2;0;1.37003e-06
2;0;1.3769e-06
2;0;1.38356e-06
2;0;1.39041e-06
2;0;1.39722e-06
2;0;1.40393e-06
2;0;1.4107e-06
2;0;1.41745e-06
2;0;1.42424e-06
2;0;1.43113e-06
2;0;1.43795e-06
2;0;1.44478e-06
2;0;1.45163e-06
2;0;1.45848e-06
2;0;1.46515e-06
2;0;1.47178e-06
2;0;1.47863e-06
2;0;1.48546e-06
2;0;1.49235e-06
2;0;1.49921e-06
2;0;1.50602e-06
2;0;1.51265e-06
2;0;1.51984e-06
2;0;1.52683e-06
2;0;1.53371e-06
2;0;1.54048e-06
2;0;1.54725e-06
2;0;1.55416e-06
2;0;1.56087e-06
2;0;1.5677e-06
2;0;1.57449e-06
2;0;1.58118e-06
2;0;1.58796e-06
2;0;1.59483e-06
2;0;1.60168e-06
2;0;1.60853e-06
