Size;Rank;walltime
2;0;7.2464e-08
2;0;9.197e-08
2;0;1.02566e-07
2;0;1.38668e-07
2;0;1.72062e-07
2;0;1.78946e-07
2;0;1.85006e-07
2;0;1.91168e-07
2;0;1.97088e-07
2;0;2.03008e-07
2;0;2.08908e-07
2;0;2.14948e-07
2;0;2.20868e-07
2;0;2.26788e-07
2;0;2.31062e-07
2;0;2.45432e-07
2;0;2.55888e-07
2;0;2.63232e-07
2;0;2.70316e-07
2;0;2.7728e-07
2;0;2.84284e-07
2;0;2.91306e-07
2;0;2.97788e-07
2;0;3.04228e-07
2;0;3.1093e-07
2;0;3.18194e-07
2;0;3.24656e-07
2;0;3.31598e-07
2;0;3.3846e-07
2;0;3.45062e-07
2;0;3.52106e-07
2;0;3.58648e-07
2;0;3.65732e-07
2;0;3.72656e-07
2;0;3.7976e-07
2;0;3.87706e-07
2;0;3.9509e-07
2;0;4.02034e-07
2;0;4.08778e-07
2;0;4.1524e-07
2;0;4.21882e-07
2;0;4.29488e-07
2;0;4.36754e-07
2;0;4.4406e-07
2;0;4.51446e-07
2;0;4.58952e-07
2;0;4.66236e-07
2;0;4.72858e-07
2;0;4.799e-07
2;0;4.86904e-07
2;0;4.93506e-07
2;0;5.0023e-07
2;0;5.06532e-07
2;0;5.13194e-07
2;0;5.19956e-07
2;0;5.26678e-07
2;0;5.3314e-07
2;0;5.39924e-07
2;0;5.46788e-07
2;0;5.54072e-07
2;0;5.60896e-07
2;0;5.67738e-07
2;0;5.7458e-07
2;0;5.82006e-07
2;0;5.89894e-07
2;0;5.96838e-07
2;0;6.04402e-07
2;0;6.12228e-07
2;0;6.19714e-07
2;0;6.2756e-07
2;0;6.35126e-07
2;0;6.42914e-07
2;0;6.5044e-07
2;0;6.57402e-07
2;0;6.65068e-07
2;0;6.72834e-07
2;0;6.805e-07
2;0;6.88046e-07
2;0;6.95532e-07
2;0;7.03498e-07
2;0;7.10862e-07
2;0;7.18066e-07
2;0;7.2511e-07
2;0;7.32496e-07
2;0;7.3924e-07
2;0;7.46204e-07
2;0;7.5403e-07
2;0;7.61716e-07
2;0;7.6874e-07
2;0;7.76326e-07
2;0;7.83892e-07
2;0;7.91638e-07
2;0;7.99262e-07
2;0;8.06466e-07
2;0;8.1355e-07
2;0;8.21094e-07
2;0;8.2884e-07
2;0;8.36546e-07
2;0;8.44332e-07
2;0;8.5252e-07
2;0;8.60448e-07
2;0;8.67872e-07
2;0;8.74774e-07
2;0;8.8254e-07
2;0;8.90586e-07
2;0;8.98452e-07
2;0;9.06158e-07
2;0;9.13944e-07
2;0;9.2145e-07
2;0;9.28914e-07
2;0;9.3656e-07
2;0;9.44348e-07
2;0;9.52054e-07
